id,text,label
28,"a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceive d action pieces .",0
29,a taut psychological thriller that doesn't waste a moment of its two-hour running time .      ,1
30,worth a look as a curiosity .      ,1
31,the best thing i can say about this film is that i can't wait to see what the director does next .      ,1
32,paxton's uneven directorial debut fails to unlock the full potential of what is in many ways a fresh and dramatically substantial spin on the genre . ,0
33,"much of the digitally altered footage appears jagged , as if filmed directly from a television monitor , while the extensive use of stock footage qu ickly becomes a tiresome clich� .",0
34,"while not all that bad of a movie , it's nowhere near as good as the original .      ",1
35,"though excessively tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its handful of redeeming features , as l ong as you disc ount its ability to bore .",0
36,"unfortunately , the picture failed to capture me . i found it slow , drab , and bordering on melodramatic .  ",0
37,"almost as offensive as "" freddy got fingered . ""  ",0
38,diane lane shines in unfaithful . almost everything else is wan .  ,0
39,"it's hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-sa tisfied 22-year -old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress .",0
40,a must-see for fans of thoughtful war films and those interested in the sights and sounds of battle .      ,1
41,"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? into how long is this movie ?  ",0
42,the cast is uniformly excellent and relaxed .      ,1
43,confessions is without a doubt a memorable directorial debut from king hunk .      ,1
44,"about as enjoyable , i would imagine , as searching for a quarter in a giant pile of elephant feces . . . positively dreadful .  ",0
45,"jacobi , the most fluent of actors , is given relatively dry material from nijinsky's writings to perform , and the visuals , even erotically frank ones , become d ullingly repetitive .",0
46,"the noble tradition of men in drag hits an all-time low in sorority boys , whose makers apparently believe that women's clothing can cover up any de ficiency in act ing , writing or direction .",0
47,"welles groupie/scholar peter bogdanovich took a long time to do it , but he's finally provided his own broadside at publishing giant william randolp h hearst . ",0
48,"( it ) highlights not so much the crime lord's messianic bent , but spacey's .  ",0
49,"this is historical filmmaking without the balm of right-thinking ideology , either liberal or conservative . mr . scorses e's b raver y an d integrity in advancing this vision can hardly be underestimated .",1
50,a minor-league soccer remake of the longest yard .  ,0
51,a clever script and skilled actors bring new energy to the familiar topic of office politics .      ,1
52,"steve oedekerk is , alas , no woody allen .  ",0
53,"the sight of the spaceship on the launching pad is duly impressive in imax dimensions , as are shots of the astronauts fl oat in g in th ei r cabins .",1
54,this is a superior horror flick .      ,1
55,"what lifts the film high above run-of-the-filth gangster flicks is its refusal to recognise any of the signposts , as if dis co verin g a way through to the bitter end without a map .",1
56,"just as the lousy tarantino imitations have subsided , here comes the first lousy guy ritchie imitation .  ",0
57,there's just something about watching a squad of psychopathic underdogs whale the tar out of unsuspecting lawmen that rea che s acros s ti me and distance .,1
58,"one of the best , most understated performances of [jack nicholson's] career .      ",1
59,this angst-ridden territory was covered earlier and much better in ordinary people .  ,0
60,"my precious new star wars movie is a lumbering , wheezy drag . . .  ",0
61,"could have been crisper and punchier , but it's likely to please audiences who like movies that demand four hankies .      ",1
62,a preposterously melodramatic paean to gang-member teens in brooklyn circa 1958 .  ,0
63,"the off-center humor is a constant , and the ensemble gives it a buoyant delivery .      ",1
64,"as a film director , labute continues to improve .      ",1
65,the film tries too hard to be funny and tries too hard to be hip . the end result is a film that's neither .  ,0
66,"appropriately cynical social commentary aside , #9 never quite ignites .  ",0
67,"beneath the uncanny , inevitable and seemingly shrewd facade of movie-biz farce . . . lies a plot cobbled together from largely flat and uncreative moments . ",0
68,i'm not sure these words have ever been together in the same sentence : this erotic cannibal movie is boring .  ,0
69,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick .  ",0
70,"the lady and the duke is a smart , romantic drama that dares to depict the french revolution from the aristocrats' perspe cti ve .   ",1
71,one of the funnier movies in town .      ,1
72,an original little film about one young woman's education .      ,1
73,"if borstal boy isn't especially realistic , it is an engaging nostalgia piece .      ",1
74,even when crush departs from the 4w formula . . . it feels like a glossy rehash .  ,0
75,"the audience when i saw this one was chuckling at all the wrong times , and that's a bad sign when they're supposed to be having a collective heart attack . ",0
76,"a thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one's actions .      ",1
77,a moving picture that does not move .  ,0
78,"although very much like the first movie based on j . k . rowling's phenomenal fantasy best sellers , this second go-round po ss esses a q uite pleasing , headlong thrust and a likably delinquent attitude .",1
79,a living testament to the power of the eccentric and the strange . the fact that it isn't very good is almost beside the point .  ,0
80,one of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individua ls . . . a p sy chological masterpiece .,1
81,"depending upon your reaction to this movie , you may never again be able to look at a red felt sharpie pen without disgus t , a thri ll , or the giggles .",1
82,"stands as one of the year's most intriguing movie experiences , letting its imagery speak for it while it forces you to p ond er anew w ha t a movie can be .",1
83,there's something not entirely convincing about the quiet american . and that holds true for both the movie and the title character played by brenda n fraser . ,0
84,a tasty appetizer that leaves you wanting more .      ,1
85,"the boys' sparring , like the succession of blows dumped on guei , wears down the story's more cerebral , and likable , plot elements .  ",0
86,"[e]ventually , every idea in this film is flushed down the latrine of heroism .  ",0
87,"this is not an easy film . but it could be , by its art and heart , a necessary one .      ",1
88,"a lousy movie that's not merely unwatchable , but also unlistenable .  ",0
89,"there is a refreshing absence of cynicism in stuart little 2--quite a rarity , even in the family film market . eventuall y , i t win s yo u over .",1
90,the film ultimately offers nothing more than people in an urban jungle needing other people to survive . . .  ,0
91,"missteps take what was otherwise a fascinating , riveting story and send it down the path of the mundane .      ",1
92,a loving little film of considerable appeal .      ,1
93,"a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton's directing debut is a creep y sl ice of gothic rural americana .",1
94,"an odd , haphazard , and inconsequential romantic comedy .  ",0
95,"starts out strongly before quickly losing its focus , point and purpose in a mess of mixed messages , over-blown drama and bruce willis with a scar . ",0
96,"you have once again entered the bizarre realm where director adrian lyne holds sway , where all relationships are simultaneously broadly metaphorica l , oddly abstr act , and excruciatingly literal .",0
97,if you're a fan of the series you'll love it and probably want to see it twice . i will be .      ,1
98,both a beautifully made nature film and a tribute to a woman whose passion for this region and its inhabitants still shin es in her qu ie t blue eyes .,1
99,"a bizarre piece of work , with premise and dialogue at the level of kids' television and plot threads as morose as teen pregnancy , rape and suspect ed murder ",0
100,as plain and pedestrian as catsup--  ,0
101,there is greatness here .      ,1
102,""" men in black ii , "" has all the earmarks of a sequel . the story is less vibrant , the jokes are a little lukewarm , but will anyone really care ? ",0
103,cedar somewhat defuses this provocative theme by submerging it in a hoary love triangle .  ,0
104,"thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special w alk i n the w oo ds .",1
105,consummate actor barry has done excellent work here .      ,1
106,too sincere to exploit its subjects and too honest to manipulate its audience .      ,1
107,five screenwriters are credited with the clich�-laden screenplay ; it seems as if each watered down the version of the one before .  ,0
108,"while the film is not entirely successful , it still manages to string together enough charming moments to work .      ",1
109,"[cuar�n has] created a substantive movie out of several cliched movie structures : the road movie , the coming-of-age mov ie , and t he t eenage sex comedy .",1
110,one of those strained caper movies that's hardly any fun to watch and begins to vaporize from your memory minutes after it ends .  ,0
111,rifkin's references are . . . impeccable throughout .      ,1
112,a movie in which two not very absorbing characters are engaged in a romance you can't wait to see end .  ,0
113,the film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production de sign . ,0
114,"make no mistake , ivans xtc . is a mess .  ",0
115,genuinely touching because it's realistic about all kinds of love .      ,1
116,calling this movie brainless would be paying it a compliment : it's more like entertainment for trolls .  ,0
117,"less cinematically powerful than quietly and deeply moving , which is powerful in itself .      ",1
118,"spectacular in every sense of the word , even if you don' t know an orc from a uruk-hai .      ",1
119,"directed with purpose and finesse by england's roger mitchell , who handily makes the move from pleasing , relatively lig htw ei ght c om me rcial fare such as notting hill to commercial fare with real thematic heft .",1
120,"the locations go from stark desert to gorgeous beaches . the story plays out slowly , but the characters are intriguing a nd re alist ic . ",1
121,"hilarious , acidic brit comedy .      ",1
122,outrageousness is all plympton seemed to be going for this time . we miss the quirky amazement that used to come along for an integral part of the r ide . ,0
123,a wildly entertaining scan of evans' career .      ,1
124,"nicolas philibert observes life inside a one-room schoolhouse in northern france in his documentary to be and to have , e asi ly one of t he best films of the year .",1
125,it's one thing to read about or rail against the ongoing - and unprecedented - construction project going on over our hea ds . it's qu it e another to feel physically caught up in the process .,1
126,just dreadful . i don't blame eddie murphy but shouldn't owen wilson know a movie must have a story and a script ?  ,0
127,"i think it was plato who said , 'i think , therefore i know better than to rush to the theatre for this one . '  ",0
128,chokes on its own depiction of upper-crust decorum .  ,0
129,vera's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them .  ,0
130,[an] absorbing documentary .      ,1
131,"it's an old story , but a lively script , sharp acting and partially animated interludes make just a kiss seem minty fres h .     ",1
132,the movie's relatively simple plot and uncomplicated morality play well with the affable cast .      ,1
133,"sinks so low in a poorly played game of absurd plot twists , idiotic court maneuvers and stupid characters that even freeman can't save it .  ",0
134,the best of the pierce brosnan james bond films to date .      ,1
135,the movie's progression into rambling incoherence gives new meaning to the phrase 'fatal script error . '  ,0
136,"the script covers huge , heavy topics in a bland , surfacey way that doesn't offer any insight into why , for instance , good things happen to bad p eople . ",0
137,obvious politics and rudimentary animation reduce the chances that the appeal of hey arnold ! the movie will reach far beyond its core demographic .  ,0
138,"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma .  ",0
139,an uninspired preachy and clich�d war film .  ,0
140,a potent allegorical love story .      ,1
141,"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporti ng wh en it s ta ys put in the past .",1
142,"it's like a drive-by . you can drive right by it without noticing anything special , save for a few comic turns , intended and otherwise .  ",0
143,the whole affair is as predictable as can be .  ,0
144,a certain sexiness underlines even the dullest tangents .      ,1
145,shankman . . . and screenwriter karen janszen bungle their way through the narrative as if it were a series of bible parables and not an actual stor y . ,0
146,those of you who are not an eighth grade girl will most likely doze off during this one .  ,0
147,disturbing and brilliant documentary .      ,1
148,reveals how important our special talents can be when put in service of of others . it also shows how deeply felt emotion s c an draw p eo ple together across the walls that might otherwise separate them .,1
149,"there's a thin line between likably old-fashioned and fuddy-duddy , and the count of monte cristo . . . never quite settles on either side .  ",0
150,"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without s tic ki ness .  ",1
151,"unfortunately , carvey's rubber-face routine is no match for the insipid script he has crafted with harris goldberg .  ",0
152,"a funny and well-contructed black comedy where the old adage "" be careful what you wish for "" is given a full workout .      ",1
153,"chen films the resolutely downbeat smokers only with every indulgent , indie trick in the book .  ",0
154,"unlike most anime , whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes , metropo lis n ever se em s hopelessly juvenile .",1
155,"the performances are immaculate , with roussillon providing comic relief .      ",1
156,an occasionally interesting but mostly repetitive look at a slice of counterculture that might be best forgotten .  ,0
157,the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a mir ac le ak in t o the story the film portrays .,1
158,"this is the kind of movie that you only need to watch for about thirty seconds before you say to yourself , 'ah , yes , here we have a bad , bad , b ad movie . ' ",0
159,"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .",0
160,diane lane's sophisticated performance can't rescue adrian lyne's unfaithful from its sleazy moralizing .  ,0
161,"anchored by a terrific performance by abbass , satin rouge shows that the idea of women's self-actualization knows few co nti ne ntal di vi des .",1
162,"despite hoffman's best efforts , wilson remains a silent , lumpish cipher ; his encounters reveal nothing about who he is or who he was before .  ",0
163,"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a re ject fr om monty python's meaning of life .",1
164,yakusho and shimizu . . . create engaging characterizations in imamura's lively and enjoyable cultural mix .      ,1
165,this idea has lost its originality . . . and neither star appears very excited at rehashing what was basically a one-joke picture .  ,0
166,"some fine acting , but ultimately a movie with no reason for being .  ",0
167,"the first mistake , i suspect , is casting shatner as a legendary professor and kunis as a brilliant college student--where's pauly shore as the roc ket scientist ? ",0
168,the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel .  ,0
169,predictably soulless techno-tripe .  ,0
170,"if the tuxedo actually were a suit , it would fit chan like a $99 bargain-basement special .  ",0
171,a modestly surprising movie .      ,1
172,"cold , pretentious , thoroughly dislikable study in sociopathy .  ",0
173,"it's amazingly perceptive in its subtle , supportive but unsentimental look at the marks family .      ",1
174,"bittersweet comedy/drama full of life , hand gestures , and some really adorable italian guys .      ",1
175,teen movies have really hit the skids .  ,0
176,"confusion is one of my least favourite emotions , especially when i have to put up with 146 minutes of it .  ",0
177,. . . a guiltless film for nice evening out .      ,1
178,a movie that can't get sufficient distance from leroy's delusions to escape their maudlin influence .  ,0
179,"imagine a film that begins as a seven rip-off , only to switch to a mix of the shining , the thing , and any naked teenagers horror flick from the 1 980s . ",0
180,has all the scenic appeal of a cesspool .  ,0
181,one of the most exciting action films to come out of china in recent years .      ,1
182,"denis o'neill's script avoids the prime sports cliche , a last-second goal to win the championship , but it neglects few others .  ",0
183,it's an 88-minute highlight reel that's 86 minutes too long .  ,0
184,it's fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland .  ,0
185,caviezel embodies the transformation of his character completely .      ,1
186,"for all the time we spend with these people , we never really get inside of them .  ",0
187,only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley's flopping dolphin-gasm .  ,0
188,becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .  ,0
189,it's fairly solid--not to mention well edited so that it certainly doesn't feel like a film that strays past the two and a h al f mar k . ,1
190,"this bond film goes off the beaten path , not necessarily for the better .  ",0
191,"from the big giant titles of the opening credits to elmer bernstein's perfectly melodic score , haynes gets just about ev ery th ing r ig ht .",1
192,"with a story as bizarre and mysterious as this , you don't want to be worrying about whether the ineffectual broomfield is going to have the courage to knock on th at door .",0
193,trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explo res t he di ff ic ult relationship between a father and son .,1
194,"the film is darkly atmospheric , with herrmann quietly suggesting the sadness and obsession beneath hearst's forced avunc ula r chort le s .",1
195,yet another entry in the sentimental oh-those-wacky-brits genre that was ushered in by the full monty and is still straining to produce another smas h hit . ,0
196,"the characters are interesting and the relationship between yosuke and saeko is worth watching as it develops , but there's not enough to the story to fill two hou rs .",0
197,morvern rocks .      ,1
198,"it's difficult to conceive of anyone who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny .  ",0
199,"cedar takes a very open-minded approach to this sensitive material , showing impressive control , both visually and in th e w ri ting .  ",1
200,"despite a quieter middle section , involving aragorn's dreams of arwen , this is even better than the fellowship . there are s cenes o f cinematic perfection that steal your heart away .",1
201,made by jackasses for jackasses .  ,0
202,"a lighthearted , feel-good film that embraces the time-honored truth that the most powerful thing in life is love .      ",1
203,"none of this so-called satire has any sting to it , as if woody is afraid of biting the hand that has finally , to some extent , warmed up to him .  ",0
204,"steven soderbergh's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie li fe .    ",1
205,"an enthralling aesthetic experience , one that's steeped in mystery and a ravishing , baroque beauty .      ",1
206,a film of quiet power .      ,1
207,"most impressive , though , is the film's open-ended finale that refuses to entirely close its characters' emotional wound s .     ",1
208,"no big whoop , nothing new to see , zero thrills , too many flashbacks and a choppy ending make for a bad film .  ",0
209,a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line .  ,0
210,mostly the film is just hectic and homiletic : two parts exhausting men in black mayhem to one part family values .  ,0
211,this harrowing journey into combat hell vividly captures the chaotic insanity and personal tragedies that are all too abu nda nt when h um an hatred spews forth unchecked .,1
212,it takes talent to make a lifeless movie about the most heinous man who ever lived .  ,0
213,"the acting , for the most part , is terrific , although the actors must struggle with the fact that they're playing chara cte rs who so me times feel more like literary conceits than flesh-and-blood humans .",1
214,fulford-wierzbicki . . . deftly captures the wise-beyond-her-years teen .      ,1
215,"dissing a bond movie is quite like calling a dog stupid , but when it has the temerity to run over two hours , you feel like winding up with a kick . ",0
216,"there aren't many conclusive answers in the film , but there is an interesting story of pointed personalities , courage , tr ag edy a nd t he little guys vs . the big guys .",1
217,"a splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease tha t comes o nl y with experience .",1
218,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .      ",1
219,"it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time . ",0
220,"nelson's brutally unsentimental approach . . . sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .  ",0
221,"taken individually or collectively , the stories never add up to as much as they promise .  ",0
222,steven spielberg brings us another masterpiece      ,1
223,"we hate [madonna] within the film's first five minutes , and she lacks the skill or presence to regain any ground .  ",0
224,a deviant topical comedy which is funny from start to finish .      ,1
225,ice age posits a heretofore unfathomable question : is it possible for computer-generated characters to go through the motions ?  ,0
226,"fast , frantic and fun , but also soon forgotten      ",1
227,"a pretty decent kid-pleasing , tolerable-to-adults lark of a movie .      ",1
228,a woman's pic directed with resonance by ilya chaiken .      ,1
229,"it sounds like another clever if pointless excursion into the abyss , and that's more or less how it plays out .  ",0
230,entertaining despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .     ,1
231,lee jeong-hyang tells it so lovingly and films it so beautifully that i couldn't help being captivated by it .      ,1
232,"red dragon "" never cuts corners .      ",1
233,"the band's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) .      ",1
234,"nohe's documentary about the event is sympathetic without being gullible : he isn't blind to the silliness , but also cap tur es mome nt s of spontaneous creativity and authentic co-operative interaction .",1
235,consistently clever and suspenseful .      ,1
236,nettelbeck . . . has a pleasing way with a metaphor .      ,1
237,more whiny downer than corruscating commentary .  ,0
238,a surprisingly 'solid' achievement by director malcolm d . lee and writer john ridley .      ,1
239,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '  ",0
240,"fine acting but there is no sense of connecting the dots , just dots .      ",1
241,ends up offering nothing more than the latest schwarzenegger or stallone flick would .  ,0
242,"open-ended and composed of layer upon layer , talk to her is a cinephile's feast , an invitation to countless interpretat ion s .   ",1
243,"unambitious writing emerges in the movie , using a plot that could have come from an animated-movie screenwriting textbook .  ",0
244,what was subtle and mystifying in the novella is now broad and farcical .  ,0
245,"dull and mechanical , kinda like a very goofy museum exhibit  ",0
246,"with nary a glimmer of self-knowledge , [crane] becomes more specimen than character -- and auto focus remains a chilly , clinical lab report .  ",0
247,formula 51 has dulled your senses faster and deeper than any recreational drug on the market .  ,0
248,count on his movie to work at the back of your neck long after you leave the theater .      ,1
249,"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of t he cl ients .  ",1
250,hollywood ending is the most disappointing woody allen movie ever . he has a great cast and a great idea . but the execution is a flop with the exce ption of about six gags that really work .,0
251,"even if you're an elvis person , you won't find anything to get excited about on this dvd .  ",0
252,"colorful and deceptively buoyant until it suddenly pulls the rug out from under you , burkinabe filmmaker dani kouyate's rew or king of a folk story whose roots go back to 7th-century oral traditions is also a pointed political allegory .",1
253,its sheer dynamism is infectious .      ,1
254,"davis is funny , charming and quirky in her feature film acting debut as amy .      ",1
255,there's nothing more satisfying during a summer of event movies than a spy thriller like the bourne identity that's packe d w it h jus t as much intelligence as action .,1
256,the mark of a respectable summer blockbuster is one of two things : unadulterated thrills or genuine laughs .      ,1
257,. . . either you're willing to go with this claustrophobic concept or you're not .      ,1
258,"earnest but earthbound . . . a slow , soggy , soporific , visually dank crime melodrama/character study that would be more at home on the small scre en but for its stellar cast .",0
259,"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good .      ",1
260,nothing about this movie works .  ,0
261,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-sta mos . ",0
262,every sequel you skip will be two hours gained . consider this review life-affirming .  ,0
263,"cannon's confidence and laid-back good spirits are , with the drumming routines , among the film's saving graces .      ",1
264,"an exceptionally acted , quietly affecting cop drama .      ",1
265,"it's a film with an idea buried somewhere inside its fabric , but never clearly seen or felt .  ",0
266,"to enjoy this movie's sharp dialogue and delightful performance by jolie and burns , you have to gloss over the no sense ending .  ",0
267,"there's little to recommend snow dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .  ",0
268,""" the best disney movie since the lion king ""      ",1
269,"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating fo rm .   ",1
270,has the capability of effecting change and inspiring hope .      ,1
271,it's an awfully derivative story .  ,0
272,"all the amped-up tony hawk-style stunts and thrashing rap-metal can't disguise the fact that , really , we've been here , done that .  ",0
273,"melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold .      ",1
274,malone does have a gift for generating nightmarish images that will be hard to burn out of your brain . but the movie's narrative hook is way too mu ddled to be an effectively chilling guilty pleasure .,0
275,there's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss a nd ti me an d ar t with us .,1
276,"the pacing is glacial , the screenplay is stiff as a board , and things heat up only in the movie's final scenes .  ",0
277,". . . while the humor aspects of 'jason x' were far more entertaining than i had expected , everything else about the film tanks .  ",0
278,truly terrible .  ,0
279,"like a tarantino movie with heart , alias betty is richly detailed , deftly executed and utterly absorbing .      ",1
280,"a much better documentary -- more revealing , more emotional and more surprising -- than its pedestrian english title wou ld ha ve yo u be lieve .",1
281,the most ill-conceived animated comedy since the 1991 dog rover dangerfield .  ,0
282,an impressive if flawed effort that indicates real talent .      ,1
283,make like the title and dodge this one .  ,0
284,"uneven , self-conscious but often hilarious spoof .      ",1
285,'opening up' the play more has partly closed it down .  ,0
286,"what redeems the film is the cast , particularly the ya-yas themselves .      ",1
287,a subtle and well-crafted ( for the most part ) chiller .      ,1
288,"it all plays out . . . like a high-end john hughes comedy , a kind of elder bueller's time out .      ",1
289,"full of bland hotels , highways , parking lots , with some glimpses of nature and family warmth , time out is a discreet moa n of de sp ai r about entrapment in the maze of modern life .",1
290,a sub-formulaic slap in the face to seasonal cheer .  ,0
291,perhaps the best sports movie i've ever seen .      ,1
292,works as pretty contagious fun .      ,1
293,derailed by bad writing and possibly also by some of that extensive post-production reworking to aim the film at young males in the throes of their first full flus h of testosterone .,0
294,"in this film we at least see a study in contrasts ; the wide range of one actor , and the limited range of a comedian .  ",0
295,an elegant film with often surprising twists and an intermingling of naivet� and sophistication .      ,1
296,"the movie is so contrived , nonsensical and formulaic that , come to think of it , the day-old shelf would be a more appropriate location to store i t . ",0
297,"overwrought , melodramatic bodice-ripper .  ",0
298,for all its problems . . . the lady and the duke surprisingly manages never to grow boring . . . which proves that rohmer st il l has a s ense of his audience .,1
299,"it's as if a bored cage spent the duration of the film's shooting schedule waiting to scream : "" got aids yet ? ""  ",0
300,"at nearly three hours , the whole of safe conduct is less than the sum of its parts .      ",1
301,"by the time the surprise ending is revealed , interest cannot be revived .  ",0
302,"the stupidest , most insulting movie of 2002's first quarter .  ",0
303,"it's [ricci's] best work yet , this girl-woman who sincerely believes she can thwart the world's misery with blind good w ill .    ",1
304,"has not so much been written as assembled , frankenstein-like , out of other , marginally better shoot-em-ups .  ",0
305,it's disappointing when filmmakers throw a few big-name actors and cameos at a hokey script .  ,0
306,"it's a movie that ends with truckzilla , for cryin' out loud . if that doesn't clue you in that something's horribly wrong , nothing will .  ",0
307,behan himself knew how to spin a tale and one can't help but think he'd appreciate this attempt to turn his life into art .     ,1
308,"the 70-year-old godard has become , to judge from in praise of love , the sort of bitter old crank who sits behind his light meter and harangues the supposed injus tices of the artistic world-at-large without doing all that much to correct them .",0
309,"if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , the n esthe r' s story is a compelling quest for truth .",1
310,offers the flash of rock videos fused with solid performances and eerie atmosphere .      ,1
311,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold sc hw arzen eg ge r , jean-claud van damme or steven segal .",1
312,"a lot of talent is wasted in this crass , low-wattage endeavor .  ",0
313,"the farcical elements seemed too pat and familiar to hold my interest , yet its diverting grim message is a good one .      ",1
314,"the film's plot may be shallow , but you've never seen the deep like you see it in these harrowing surf shots .      ",1
315,makes 98 minutes feel like three hours .  ,0
316,the movie quickly drags on becoming boring and predictable . i tried to read the time on my watch .  ,0
317,"the only thing "" swept away "" is the one hour and thirty-three minutes spent watching this waste of time .  ",0
318,"with a completely predictable plot , you'll swear that you've seen it all before , even if you've never come within a mile of the longest yard .  ",0
319,"the sundance film festival has become so buzz-obsessed that fans and producers descend upon utah each january to ferret o ut th e nex t gr eat thing . 'tadpole' was one of the films so declared this year , but it's really more of the next pretty good thing .",1
320,"it's jagger's bone-dry , mournfully brittle delivery that gives the film its bittersweet bite .      ",1
321,i suspect that there are more interesting ways of dealing with the subject .  ,0
322,[a] strong piece of work .      ,1
323,"thanks to haynes' absolute control of the film's mood , and buoyed by three terrific performances , far from heaven actua lly p ulls of f this stylistic juggling act .",1
324,"'yes , that's right : it's forrest gump , angel of death . '  ",0
325,the plot is so predictable and sentimental that viewers are likely to lose interest before sandrine and her goats walk off into the sunset .  ,0
326,"feature debuter d . j . caruso directs a crack ensemble cast , bringing screenwriter tony gayton's narcotics noir to life .     ",1
